Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1040,21,7,3,30.0,Female,Strength,Rest,10,1.0,7.4,138,Medium,54,87,5.1,3.0,3.9,58.5
1040,22,1,4,30.0,Female,Strength,Strength,52,6.2,9.0,151,Low,52,84,6.9,2.7,5.8,100.0
1040,23,2,4,30.0,Female,Strength,HIIT,23,7.7,8.7,260,Low,53,76,5.8,5.0,4.6,80.1
1040,24,3,4,30.0,Female,Strength,Strength,54,6.1,7.6,234,Medium,58,61,6.0,5.2,4.3,18.7
1040,25,4,4,30.0,Female,Strength,Strength,55,4.5,7.9,261,High,60,68,5.2,4.2,3.8,54.8
1040,26,5,4,30.0,Female,Strength,Strength,65,7.2,6.4,0,High,55,64,2.8,5.8,3.0,8.2
1040,27,6,4,30.0,Female,Strength,Yoga,58,2.5,8.0,169,Low,54,78,4.8,3.4,5.5,81.5
1040,28,7,4,30.0,Female,Strength,Yoga,58,2.2,6.5,162,Medium,53,75,4.8,2.5,2.8,51.5
1041,1,1,1,29.0,Female,Combat,HIIT,26,7.9,7.4,304,Medium,58,62,4.8,5.6,6.6,40.7
1041,2,2,1,29.0,Female,Combat,Cardio,82,5.5,6.9,280,Medium,54,75,4.8,2.3,4.5,52.4
