Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1117,12,5,2,26.0,Female,Team Sport,Strength,67,6.6,7.7,267,Medium,59,65,4.5,6.4,1.1,38.3
1117,13,6,2,26.0,Female,Team Sport,Rest,34,1.0,7.7,198,Medium,57,75,6.6,2.6,4.1,52.6
1117,14,7,2,26.0,Female,Team Sport,Rest,16,1.0,6.6,168,Medium,53,83,5.3,1.2,3.7,69.3
1117,15,1,3,26.0,Female,Team Sport,HIIT,47,10.0,6.5,240,Medium,55,70,5.5,6.8,3.3,30.9
1117,16,2,3,26.0,Female,Team Sport,HIIT,35,10.0,7.3,300,High,58,63,4.2,7.3,1.7,19.9
1117,17,3,3,26.0,Female,Team Sport,Strength,81,6.5,7.9,300,Medium,54,68,5.7,3.6,3.4,58.1
1117,18,4,3,26.0,Female,Team Sport,HIIT,32,8.7,,294,Medium,58,67,3.8,8.4,2.1,18.1
1117,19,5,3,26.0,Female,Team Sport,HIIT,27,9.5,,356,High,60,58,1.9,7.7,1.0,3.0
1117,20,6,3,26.0,Female,Team Sport,Cardio,57,6.2,7.8,140,Medium,58,71,4.8,6.4,2.0,44.4
1117,21,7,3,26.0,Female,Team Sport,Rest,20,1.7,8.5,156,Medium,54,78,5.7,1.6,2.9,70.8
