Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1089,24,3,4,28.0,Female,Mixed,Strength,50,7.6,7.6,169,Medium,53,74,6.6,7.8,3.4,58.3
1089,25,4,4,28.0,Female,Mixed,Cardio,70,4.1,8.3,212,Medium,55,71,2.8,4.2,3.1,53.1
1089,26,5,4,28.0,Female,Mixed,Cardio,83,4.8,7.2,280,High,54,71,4.0,5.0,1.9,40.1
1089,27,6,4,28.0,Female,Mixed,Cardio,76,3.2,7.2,261,Medium,50,75,2.8,2.1,3.0,52.3
1089,28,7,4,28.0,Female,Mixed,Yoga,49,3.2,9.2,207,Medium,50,85,5.7,4.3,3.6,76.8
1090,1,1,1,29.0,Female,Team Sport,HIIT,27,9.0,6.6,187,Medium,60,75,5.9,4.2,6.6,55.6
1090,2,2,1,29.0,Female,Team Sport,Cardio,61,4.9,7.8,206,Medium,58,74,8.0,2.3,6.6,69.8
1090,3,3,1,29.0,Female,Team Sport,Cardio,94,7.1,7.8,0,Medium,58,76,5.9,5.6,3.6,62.8
1090,4,4,1,29.0,Female,Team Sport,HIIT,36,7.6,8.2,250,Low,56,76,6.7,4.8,4.6,69.2
1090,5,5,1,29.0,Female,Team Sport,HIIT,37,7.9,8.9,0,Medium,57,77,6.7,7.2,2.6,70.5
