Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1194,12,5,2,20.0,Male,Endurance,Cardio,66,5.6,8.4,120,Medium,49,81,5.9,4.8,4.1,59.3
1194,13,6,2,20.0,Male,Endurance,Cardio,51,5.1,7.0,243,Medium,50,75,4.2,4.0,2.6,46.5
1194,14,7,2,20.0,Male,Endurance,Yoga,33,3.9,7.1,248,Medium,49,81,6.0,3.2,4.5,53.7
1194,15,1,3,20.0,Male,Endurance,Cardio,86,6.8,6.4,296,Medium,52,79,5.2,4.7,2.1,46.2
1194,16,2,3,20.0,Male,Endurance,Cardio,87,6.6,8.0,168,Low,50,85,5.8,6.1,3.2,65.6
1194,17,3,3,20.0,Male,Endurance,HIIT,28,9.3,8.9,248,Low,50,84,6.3,5.9,3.4,74.1
1194,18,4,3,20.0,Male,Endurance,HIIT,32,9.7,6.7,316,High,54,68,3.6,9.6,1.0,11.0
1194,19,5,3,20.0,Male,Endurance,Cardio,49,7.0,7.6,143,Low,52,91,5.1,6.9,1.0,67.6
1194,20,6,3,20.0,Male,Endurance,Cardio,79,6.2,7.9,197,Medium,50,75,4.6,5.9,4.4,49.5
1194,21,7,3,20.0,Male,Endurance,Rest,20,1.2,7.4,0,Medium,51,82,4.5,1.2,4.0,45.5
